url,"date_mday",totalbytes
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/gdeltaavv.ini",18,2664
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/gdeltaavv.ini",19,5328
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/gdeltaavv.ini",20,2664
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/gdeltaavv.ini",21,2664
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/gdeltaavv.ini",22,2664
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/gdeltaavv.ini",23,5330
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/gdeltaavv.ini",24,2666
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//SiteStat.xml",18,32345
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//SiteStat.xml",19,32363
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//SiteStat.xml",20,31970
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//SiteStat.xml",21,31338
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//SiteStat.xml",22,32716
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//SiteStat.xml",23,32725
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//SiteStat.xml",24,30834
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//catalog.z",18,58575
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//catalog.z",19,29430
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//catalog.z",20,88293
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//catalog.z",21,29430
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//catalog.z",22,88245
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//catalog.z",23,60012
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//catalog.z",24,30366
"http://update.microsoft.com/v10/1/windowsupdate/selfupdate/wuident.cab?1310180451",18,420
"http://update.microsoft.com/v10/1/windowsupdate/selfupdate/wuident.cab?1310190052",19,420
"http://update.microsoft.com/v10/1/windowsupdate/selfupdate/wuident.cab?1310192006",20,420
"http://update.microsoft.com/v10/1/windowsupdate/selfupdate/wuident.cab?1310201618",21,420
"http://update.microsoft.com/v10/1/windowsupdate/selfupdate/wuident.cab?1310211156",21,420
"http://update.microsoft.com/v10/1/windowsupdate/selfupdate/wuident.cab?1310220838",22,420
"http://update.microsoft.com/v10/1/windowsupdate/selfupdate/wuident.cab?1310230231",23,420
"http://update.microsoft.com/v10/1/windowsupdate/selfupdate/wuident.cab?1310232053",24,420
"http://www.eicar.org/download/eicar.com.txt",18,410400
"http://www.eicar.org/download/eicar.com.txt",19,205200
"http://www.eicar.org/download/eicar.com.txt",21,1839618
"http://www.eicar.org/download/eicar.com.txt",22,2463768
"http://www.eicar.org/download/eicar.com.txt",23,2459322
"http://www.eicar.org/download/eicar.com.txt",24,2867670
